# Time-averaged data for fix out
# step gamma tau_virial_GPa tau_wall_GPa T_K (interval averages)
450 0.00046 0.0481012 -0.033571 231.915
900 0.00136 0.0684505 -0.281213 232.734
1350 0.00226 0.0833114 -0.0583826 234.147
1800 0.00316 0.0906435 -0.244157 234.127
2250 0.00406 0.129861 -0.255657 234.095
2700 0.00496 0.0950007 -0.155641 235.583
3150 0.00586 0.0802439 -0.105192 236.154
3600 0.00676 0.0568882 -0.152011 234.924
4050 0.00766 0.112969 -0.188263 233.683
4500 0.00856 0.125825 -0.182455 234.584
4950 0.00946 0.106567 -0.128676 235.94
5400 0.01036 0.0959687 -0.209409 234.504
5850 0.01126 0.0876069 -0.0799771 234.983
6300 0.01216 0.0844319 -0.190401 232.926
6750 0.01306 0.0791474 -0.17922 233.529
7200 0.01396 0.114713 -0.145714 234.822
7650 0.01486 0.103839 -0.235019 234.72
8100 0.01576 0.118552 -0.143371 235.294
8550 0.01666 0.109272 -0.223655 234.519
9000 0.01756 0.0953957 -0.229676 233.713
9450 0.01846 0.0956706 -0.16893 233.785
9900 0.01936 0.115122 -0.166749 233.49
10350 0.02026 0.10839 -0.21557 234.092
10800 0.02116 0.134406 -0.19224 234.466
11250 0.02206 0.141884 -0.237326 233.476
11700 0.02296 0.150216 -0.245278 234.522
12150 0.02386 0.098249 -0.150026 234.766
12600 0.02476 0.106364 -0.193572 234.608
13050 0.02566 0.147859 -0.190006 234.437
13500 0.02656 0.178646 -0.276942 235.319
13950 0.02746 0.189983 -0.276484 234.186
14400 0.02836 0.129267 -0.142044 234.977
14850 0.02926 0.0681975 -0.17163 234.177
15300 0.03016 0.0856698 -0.177278 233.78
15750 0.03106 0.0915829 -0.3123 234.521
16200 0.03196 0.081947 -0.199937 234.461
16650 0.03286 0.109864 -0.145221 235.138
17100 0.03376 0.123882 -0.164155 234.79
17550 0.03466 0.106793 -0.23497 234.026
18000 0.03556 0.121148 -0.214038 235.017
18450 0.03646 0.125399 -0.253578 233.472
18900 0.03736 0.10939 -0.25286 233.879
19350 0.03826 0.0908137 -0.129753 235.454
19800 0.03916 0.0934215 -0.192085 235.982
20250 0.04006 0.137405 -0.2187 234.836
20700 0.04096 0.136622 -0.296437 233.236
21150 0.04186 0.107601 -0.103638 232.956
21600 0.04276 0.098222 -0.236743 234.802
22050 0.04366 0.107759 -0.179146 234.959
22500 0.04456 0.129471 -0.226833 234.401
22950 0.04546 0.140628 -0.139776 234.199
23400 0.04636 0.107099 -0.251107 233.728
23850 0.04726 0.106788 -0.12693 234.497
24300 0.04816 0.0981544 -0.285299 234.24
24750 0.04906 0.0706586 -0.163005 234.939
25200 0.04996 0.0733934 -0.147117 233.903
25650 0.05086 0.101076 -0.163963 233.586
26100 0.05176 0.11747 -0.157885 234.741
26550 0.05266 0.0985638 -0.194109 234.945
27000 0.05356 0.007636 -0.137454 234.867
27450 0.05446 0.0202999 -0.0258999 234.685
